ROAD,TOWN,POSTCODE,USE,X,Y
SEACOAST ROAD,LIMAVADY,BT49 0JY,RESIDENTIAL,265611,431395
SEACOAST ROAD,LIMAVADY,BT49 0LA,UNKNOWN,265686,431787
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,266101,432758
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,266159,432326
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,266323,432117
SEACOAST ROAD,LIMAVADY,BT49 0LD,RESIDENTIAL,266339,433659
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,266420,432679
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,266514,431956
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,266560,432908
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,266621,432587
SEACOAST ROAD,LIMAVADY,BT49 0LF,RESIDENTIAL,266642,434403
SEACOAST ROAD,LIMAVADY,BT49 0LD,UNKNOWN,266712,433139
SEACOAST ROAD,LIMAVADY,BT49 0JY,RESIDENTIAL,266717,431235
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,266740,432186
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266744,431720
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266744,431731
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,266748,432184
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266757,431708
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266757,431751
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,266759,432182
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266767,431708
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266767,431751
SEACOAST ROAD,LIMAVADY,BT49 0LF,RESIDENTIAL,266780,434646
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266782,431706
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266794,431707
SEACOAST ROAD,LIMAVADY,BT49 0JY,RESIDENTIAL,266798,431229
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266818,431762
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266820,431707
SEACOAST ROAD,LIMAVADY,BT49 0LD,RESIDENTIAL,266823,433615
SEACOAST ROAD,LIMAVADY,BT49 0LD,RESIDENTIAL,266829,433608
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266830,431705
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266830,431761
SEACOAST ROAD,LIMAVADY,BT49 0JY,RESIDENTIAL,266838,431252
SEACOAST ROAD,LIMAVADY,BT49 0JY,RESIDENTIAL,266838,431437
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266841,431760
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266852,431760
SEACOAST ROAD,LIMAVADY,BT49 0JY,RESIDENTIAL,266854,431489
SEACOAST ROAD,LIMAVADY,BT49 0LD,RESIDENTIAL,266860,433614
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266862,431759
SEACOAST ROAD,LIMAVADY,BT49 0JY,UNKNOWN,266864,431456
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266869,431677
SEACOAST ROAD,LIMAVADY,BT49 0JY,COMMERCIAL,266870,431476
SEACOAST ROAD,LIMAVADY,BT49 0JY,RESIDENTIAL,266871,431502
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266872,431684
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266873,431691
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266873,431759
SEACOAST ROAD,LIMAVADY,BT49 0JY,RESIDENTIAL,266875,431584
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266875,431698
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266885,431665
SEACOAST ROAD,LIMAVADY,BT49 0JY,RESIDENTIAL,266890,431452
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266892,431664
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266894,431734
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266895,431725
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266896,431766
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266899,431662
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266903,431767
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266906,431660
SEACOAST ROAD,LIMAVADY,BT49 0JY,RESIDENTIAL,266910,431429
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266914,431723
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266920,431721
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266926,431720
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266926,431737
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266927,431743
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266929,431749
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266932,431760
OUGHTYMOYLE AVENUE,LIMAVADY,BT49 0JZ,RESIDENTIAL,266934,431766
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,266961,432118
SEACOAST ROAD,LIMAVADY,BT49 0LD,RESIDENTIAL,266964,433315
POINT ROAD,LIMAVADY,BT49 0LP,RESIDENTIAL,266987,434871
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,267031,432175
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267074,432866
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267077,432872
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267080,432877
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267083,432883
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267086,432888
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267086,432902
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267091,432911
SEACOAST ROAD,LIMAVADY,BT49 0LA,UNKNOWN,267092,432703
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267097,432923
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267101,432932
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267108,432946
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,267111,432164
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267111,432871
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267112,432955
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267117,432868
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267121,432892
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267122,432962
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267123,432865
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267125,432968
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267127,432889
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267127,432974
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267128,432862
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267130,432979
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267132,432906
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267133,432886
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267133,432986
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267134,432912
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,267135,432292
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267136,432991
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267137,432858
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267137,432917
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267138,432997
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267139,432884
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267140,432923
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267143,432855
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267143,432929
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267145,432934
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267147,432879
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267148,432852
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267148,432940
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267152,432896
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267153,432876
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267154,432849
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267154,432958
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267155,432902
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267158,432907
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267159,432873
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267159,432955
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267160,432913
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267163,432918
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267164,432978
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267165,432871
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267165,432952
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267166,432924
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267169,432930
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267169,432975
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267171,432949
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,267172,432608
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,267175,432617
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267175,432973
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267179,432945
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267181,432970
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267185,432942
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,267188,432700
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267190,432966
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267191,432939
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267193,432817
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267195,432962
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267197,432825
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267197,432936
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267202,432961
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267203,432934
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267204,432840
CARRIAGE COURT,LIMAVADY,BT49 0LU,RESIDENTIAL,267204,432986
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267206,432956
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267208,432849
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267208,432930
SEACOAST ROAD,LIMAVADY,BT49 0LD,RESIDENTIAL,267208,433110
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267211,432803
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267212,432954
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267218,432817
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267218,432951
CARRIAGE COURT,LIMAVADY,BT49 0LU,RESIDENTIAL,267221,432979
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267222,432825
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267224,432881
CARRIAGE COURT,LIMAVADY,BT49 0LU,RESIDENTIAL,267228,433016
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267229,432839
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267230,432892
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267235,432902
CARRIAGE COURT,LIMAVADY,BT49 0LU,RESIDENTIAL,267235,432973
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267241,432915
SEACOAST ROAD,LIMAVADY,BT49 0LA,RESIDENTIAL,267243,431976
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267244,432871
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267245,432924
CARRIAGE COURT,LIMAVADY,BT49 0LU,RESIDENTIAL,267246,432966
LIMESTONE ROAD,LIMAVADY,BT49 0LB,RESIDENTIAL,267248,432748
DRUMAVALLY,LIMAVADY,BT49 0LT,RESIDENTIAL,267250,432934
